Time_MM_SS;ImageFilePath;TRef_C;T1_C;T2_C;TRef_V;T1_V;T2_V;VRef_V;TRef_C;TRef_Gradient;Target_Temp;Target_Gradient
13-06-24_979;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-06-24_979.PNG;20.9996772131692317;25.7966799149913299;23.6595929845048545;2.5446558323297399;6.1414074386005089;6.1769857512107942;20,999677;11,993313;0,013351;-30,000000;-0,000000
13-06-29_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-06-29_982.PNG;20.9999164805632503;25.8504872900284681;23.6343864298578410;2.5446330037494307;6.1351743421062448;6.1799469101397344;20,999916;11,993307;0,015129;-30,000000;-0,000000
13-06-34_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-06-34_982.PNG;21.0016225134132490;25.8542765848027329;23.5145356662235940;2.5444581833158844;6.1346833190133179;6.1939954277274278;21,001623;11,993204;0,011380;-30,000000;-0,000000
13-06-39_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-06-39_982.PNG;21.0020007931552648;25.8514130678390188;23.3136349253884987;2.5444190826665811;6.1350023826958173;6.2176408301377801;21,002001;11,993180;0,006946;-30,000000;-0,000000
13-06-44_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-06-44_982.PNG;21.0016715594281535;25.8525054231197941;23.3546464949044434;2.5444839921286104;6.1349591097211320;6.2128934987123916;21,001672;11,993343;0,003911;-30,000000;-0,000000
13-06-49_983;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-06-49_983.PNG;21.0016114691372273;25.6489449000529248;23.4324973947881858;2.5444758858964378;6.1585051511827205;6.2036927463825204;21,001611;11,993281;-0,000001;-30,000000;-0,000000
13-06-54_979;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-06-54_979.PNG;21.0034769296132389;25.3027124881044756;23.3896780400992838;2.5443299737173306;6.1987191557120775;6.2087845926752445;21,003477;11,993376;0,019937;-30,000000;-0,000000
13-06-59_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-06-59_982.PNG;21.0053102367525106;24.9779565807066319;23.2793135394760497;2.5441212978435339;6.2363543055268726;6.2216801775503265;21,005310;11,993171;0,021280;-30,000000;-0,000000
13-07-04_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-07-04_982.PNG;21.0067709766871502;24.7240560566744420;23.2731443841664713;2.5440124001510385;6.2659572521422655;6.2224586142574925;21,006771;11,993270;0,011815;-30,000000;-0,000000
13-07-09_979;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-07-09_979.PNG;21.0065692801090122;24.5422300767439196;23.3838587499279242;2.5440265860573401;6.2871337108095702;6.2094057923201209;21,006569;11,993252;-0,003357;-30,000000;-0,000000
